mouseid,SEX,PGM,PCTT10,TOTDIST,TOTREAR,AMBEPIS,AVGVELO,PCTREST,ACTFACT,ANXFACT,1.52.903,1.58.218,1.63.544,1.68.754,1.73.853,1.78.895,1.84.13,1.142.911,1.152.072,1.157.107,1.162.154,1.172.293,1.189.194,1.194.471,2.6.99,2.14.912,2.30.4,2.46.567,2.65.484,2.70.714,2.75.803,2.80.917,2.97.379,2.115.443,2.120.543,2.125.79,2.131.164,2.136.176,2.147.68,2.153.094,2.163.612,2.168.681,2.178.315,3.5.399,3.15.676,3.23.589,3.30.366,3.58.232,3.63.295,3.116.457,3.130.112,3.144.638,4.28.546,4.64.271,4.84.116,4.90.848,4.95.976,4.101.273,4.106.91,4.114.381,4.119.404,4.146.705,4.154.007,5.3.217,5.8.292,5.13.572,5.34.496,5.54.302,5.59.398,5.70.507,5.76.181,5.114.905,5.129.613,6.8.907,6.30.799,6.43.778,6.48.9,6.57.082,6.66.518,6.71.532,6.76.679,6.81.864,6.92.155,6.97.389,6.102.455,6.113.036,6.118.461,6.130.177,6.137.911,7.4.843,7.10.546,7.16.001,7.32.784,7.57.878,7.63.356,7.95.734,7.113.114,7.120.494,7.125.526,8.3.089,8.9.532,8.15.231,8.27.939,8.42.542,8.52.684,8.57.724,8.63.043,8.68.129,8.73.959,8.84.334,8.89.447,8.99.742,8.106.003,8.120.925,9.19.367,9.35.157,9.75.208,9.85.508,9.97.633,9.103.546,9.115.09,9.120.248,10.6.177,10.27.548,10.33.479,10.50.215,10.57.805,10.66.995,10.72.796,10.80.703,10.86.122,10.91.185,10.96.34,10.101.669,10.109.059,10.126.634,11.8.346,11.24.381,11.30.054,11.35.159,11.45.533,11.68.383,11.73.562,11.78.864,11.84.334,11.110.832,11.115.986,11.121.485,12.8.054,12.14.003,12.20.058,12.25.18,12.34.51,12.44.175,12.50.945,12.62.739,12.67.901,12.73.9,12.84.749,12.90.714,12.95.793,12.101.558,12.113.087,13.6.094,13.12.009,13.17.193,13.22.251,13.35.31,13.40.462,13.51.598,13.56.939,13.67.446,13.89.444,13.94.513,13.99.543,14.10.723,14.75.192,14.92.114,14.97.414,14.102.467,14.108.333,15.57.352,15.78.151,15.89.891,15.101.89,16.17.188,16.45.834,16.51.101,16.56.11,16.61.205,16.71.874,16.82.521,16.87.987,16.93.262,16.98.377,17.9.103,17.14.146,17.27.372,17.32.527,17.39.267,17.45.986,17.51.159,17.56.801,17.71.942,18.11.683,18.16.784,18.21.882,18.28.434,18.51.821,18.70.651,18.77.741,18.85.977,19.3.505,19.49.322,X.45.475,X.61.66,X.85.251,X.100.299,X.106.858,X.125.593,X.151.946
155996,0,0,18.48,3851.8,76,126,32.65,47.87,0.49,-0.577,H,H,H,H,-,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,-,-,C,C,C,-,C,C,H,H,H,H,H,H,H,-,H,-,B,B,B,B,B,B,B,B,B,B,B,-,B,B,-,B,H,H,C,-,-,H,H,-,C,C,C,C,C,C,C,C,C,-,C,-,B,B,B,B,B,B,B,B,H,H,C,H,H,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,-,H,B,B,B,B,B,B,B,B,H,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,B,-,B,B,B,B,B,B,H,H,-,H,H,H,-,H,H,B,H,C,H,H,-,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,C,-,C,C,C,C,C,-,B,B,H,H,H,-,H,H,H
155998,0,0,19.67,3476.1,42,120,35.77,50.63,-0.03,-0.066,H,H,-,H,H,H,B,-,H,B,H,H,-,H,H,H,H,H,C,B,H,B,H,H,-,C,H,-,-,H,B,-,-,-,B,B,H,H,H,-,H,-,H,H,-,-,H,H,H,H,-,B,B,-,H,-,H,-,-,-,H,-,-,B,-,-,H,H,-,H,H,-,-,C,-,-,H,H,-,C,H,B,-,C,-,-,H,H,H,H,-,-,-,H,-,B,C,-,B,H,-,C,H,H,-,H,H,H,H,H,-,B,-,H,C,H,C,H,H,H,H,-,C,H,-,H,C,-,B,H,-,B,-,H,H,H,H,C,B,B,C,H,-,-,B,-,-,-,-,B,-,H,H,H,-,-,H,H,H,-,H,C,-,H,H,H,H,-,H,B,-,H,H,H,H,C,H,-,H,-,C,-,H,B,-,H,H,C,H,H,-,H,C,H,H,H,-,H,B,H,-,H,B,H,H,B,H,-,-,C,H
161010,0,0,18.73,2812,84,101,35.22,56.58,-0.65,-0.099,H,H,-,C,-,H,-,B,-,H,-,C,-,-,-,-,B,H,-,-,H,H,-,-,-,C,-,H,H,H,-,-,-,-,H,C,-,-,H,-,H,H,B,H,-,H,H,C,H,-,-,C,B,B,-,-,-,-,-,B,H,-,-,C,H,-,H,-,-,C,-,-,-,-,C,B,B,-,-,-,H,-,B,B,C,B,-,-,H,H,-,H,-,-,H,B,C,H,B,B,B,B,B,C,-,H,-,H,H,H,-,B,-,C,H,H,C,H,C,H,-,B,C,C,C,-,-,B,-,B,-,B,-,H,B,-,-,C,-,H,-,B,B,-,-,-,C,C,C,-,H,-,H,H,H,B,-,H,-,B,-,B,B,H,C,C,H,B,-,-,H,C,H,C,-,C,H,-,-,H,H,B,H,B,H,-,B,-,H,-,C,H,H,C,-,-,-,C,C,-,-,B,B,-,H,H,-,-,H,-,H
161011,0,0,11.08,2214.7,49,68,28.09,58.92,-1.4,-1.423,-,H,-,H,H,H,-,-,H,B,B,B,-,-,-,B,-,H,B,H,H,B,H,H,B,H,H,H,-,H,H,H,-,H,H,-,-,-,B,B,-,H,C,-,-,H,H,H,-,-,-,H,H,-,-,H,-,H,H,H,H,-,-,-,-,H,B,-,H,H,C,C,B,-,C,-,H,H,-,H,H,H,B,-,C,B,-,H,B,-,-,H,H,H,-,B,-,H,H,H,H,C,B,B,-,B,-,B,-,-,-,B,-,C,B,H,C,C,B,H,C,-,-,-,B,-,B,H,B,B,-,H,-,-,H,C,H,C,-,-,H,H,B,-,-,-,H,-,-,B,B,H,C,H,-,-,-,H,-,-,H,-,H,-,H,-,H,H,C,B,B,H,B,H,-,C,C,B,C,-,B,-,-,-,H,H,H,H,B,-,H,-,C,-,-,H,H,B,-,C,B,-,B,-,H,H,C,-,H,C,C
161012,0,0,3.97,2164,33,66,23.98,63.42,-1.62,-2.359,H,H,-,C,H,H,-,-,H,C,H,C,-,H,H,B,-,B,C,-,C,-,H,H,H,H,-,-,C,H,-,-,H,H,-,C,H,C,-,H,-,-,H,H,-,-,H,-,-,B,-,-,B,-,-,H,H,C,-,-,-,H,-,-,C,H,-,H,C,-,H,-,-,-,-,H,B,B,-,H,-,C,B,B,H,-,-,C,H,H,-,H,-,-,C,-,C,C,B,H,C,-,C,-,H,H,H,C,H,-,-,-,-,-,H,H,C,C,B,H,H,-,H,B,-,-,H,C,-,-,-,B,H,H,H,C,C,C,-,-,C,-,C,C,C,-,C,-,-,H,C,-,B,-,B,-,-,-,-,B,-,B,B,H,-,H,B,H,H,B,H,C,H,H,-,-,H,-,C,C,H,-,H,-,H,-,C,H,H,-,H,B,C,B,-,-,H,C,B,H,C,-,B,-,H,-,B,-,H,-,H
163755,0,0,18.85,3782.6,155,123,35.37,53.3,0.43,-0.169,C,C,C,C,C,C,C,H,H,-,H,H,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,H,-,H,H,H,H,H,H,H,B,H,H,-,H,H,-,H,H,H,-,-,C,C,C,C,C,C,C,C,C,H,-,H,-,H,H,H,H,H,-,H,H,H,H,-,-,H,H,-,H,C,C,C,-,C,C,H,C,C,C,C,C,-,C,C,C,C,C,H,H,B,H,C,H,H,-,-,B,B,H,H,H,H,H,C,C,C,C,C,C,H,H,H,H,H,-,H,B,H,H,H,-,H,B,H,H,-,H,H,H,H,-,H,H,B,B,B,B,H,H,H,-,H,H,H,-,B,H,H,C,C,C,H,-,H,H,-,H,B,B,H,H,H,H,-,H,H,-,H,H,H,-,H,H,H,C,C,C,-,C,C,H,H,H,H,-,H,H,-,H,H,H,H,H,-,H,B,B
163756,0,0,18.77,2588.1,68,90,36.26,57.15,-0.97,0.05,C,C,C,C,C,C,C,-,C,C,C,C,H,H,H,H,H,H,-,H,H,-,H,H,H,H,H,-,H,H,H,H,H,B,B,B,B,B,B,C,-,H,-,C,H,-,-,H,B,-,B,H,-,H,H,H,C,C,C,C,C,C,-,H,C,C,C,C,C,C,H,H,-,-,B,B,B,B,B,C,C,C,C,C,C,-,C,C,H,B,B,-,-,H,-,H,H,H,H,H,H,H,H,B,H,C,H,H,H,H,H,B,H,H,H,H,-,H,-,H,H,-,C,C,C,-,H,-,-,-,B,H,-,H,H,-,H,H,H,C,C,C,-,C,-,C,C,C,C,C,C,H,H,B,B,B,B,B,B,B,B,-,H,H,-,C,-,-,H,-,-,-,-,H,H,B,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,B,B,H,-,-,-,H,H,-,-,H,-,B,H,H,-,-,H,H
163757,0,0,20.32,5215.2,112,177,38.59,43.33,1.94,0.134,H,H,H,H,-,H,H,H,H,H,H,B,B,B,-,B,H,H,C,C,C,C,H,C,C,H,H,H,-,H,H,H,H,C,C,C,C,-,C,C,-,H,B,H,H,-,H,H,C,C,C,H,H,H,H,H,H,-,H,H,H,C,C,B,B,B,-,H,-,H,H,H,H,H,C,H,H,C,C,C,C,C,H,H,H,H,-,C,H,B,B,-,B,B,C,-,H,H,-,H,H,H,H,H,B,B,B,B,H,H,H,H,B,B,B,B,B,B,B,-,B,B,B,-,B,-,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,-,H,C,C,C,C,C,H,H,H,H,-,B,B,B,H,-,B,H,H,H,H,H,C,H,H,H,-,H,-,B,B,B,B,H,H,H,H,-,H,-,H,H,-,H,H,-,H,C,B,-,H,H,-,H,H,H,H,C,-,H,H,H,H,H,-,H,-,H
163758,0,0,21.02,3525.8,166,121,32.41,51.98,0.41,-0.377,H,H,H,H,-,B,B,B,B,B,B,B,B,B,H,H,H,-,C,C,C,C,-,C,C,C,C,C,C,H,H,H,-,B,B,B,B,B,-,B,B,B,-,C,C,C,C,C,C,C,C,C,C,B,B,B,H,B,B,B,B,-,C,C,H,H,-,H,H,H,H,-,C,C,B,H,H,H,-,B,B,B,B,B,H,H,H,H,H,H,H,B,B,-,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,B,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,C,C,C,C,H,H,H,B,B,B,B,H,H,H,H,H,-,H,H,H,H,H,C,-,H,C,C,C,-,H,H,H,-,H,B,-,C,C,C,C,-,B,B,B,H,H,H,H,H,C,H,H,H,H,C,H,H,H,H,-,-,-,C,H,H,H,H,-,B,B,B,B,H,B,B,B,B,B,-,H
163762,0,0,23.27,3282,82,112,39.25,51.8,-0.18,0.623,-,H,-,-,-,C,C,H,H,-,-,-,-,C,C,B,H,H,C,B,H,C,H,B,H,H,-,B,H,-,-,-,B,-,H,H,-,B,B,H,H,H,-,C,C,H,H,C,-,-,-,C,C,-,-,H,-,-,-,B,H,-,H,B,-,-,H,-,H,-,B,-,H,C,C,-,-,B,-,H,-,C,H,-,B,H,B,H,H,H,C,H,B,H,B,-,H,-,-,-,H,C,C,C,B,H,-,B,H,-,-,-,H,C,-,-,-,H,H,-,H,H,H,-,C,-,B,H,B,-,-,B,-,-,H,H,-,C,B,-,C,-,-,H,C,C,C,H,-,H,B,H,-,H,-,B,H,C,-,-,H,B,H,H,H,C,B,B,-,B,C,-,-,C,H,H,H,-,C,H,-,B,H,B,-,H,H,H,H,H,-,-,C,H,B,-,-,H,-,-,B,B,-,B,-,H,-,-,-,B,C
163763,0,0,15.12,2175.2,42,77,29.47,58.75,-1.38,-0.979,-,H,-,H,H,H,B,-,H,B,H,H,C,H,C,-,H,H,H,B,H,-,H,C,H,H,-,H,-,H,H,-,H,-,H,B,-,H,H,H,H,-,H,H,H,H,H,H,H,-,-,H,H,H,H,H,H,C,-,H,H,-,-,H,-,H,H,H,C,-,H,-,B,C,C,C,H,-,-,H,-,-,H,H,H,H,-,H,H,-,-,H,-,B,-,-,C,C,-,H,-,B,H,-,H,H,B,B,H,-,-,-,H,H,C,H,H,-,H,H,H,-,-,C,B,B,-,B,B,-,-,-,-,H,-,-,H,-,B,H,H,-,-,-,-,-,H,H,H,B,-,H,H,H,-,-,-,B,C,-,H,H,-,H,H,H,B,H,H,B,H,H,C,H,C,B,H,-,-,H,-,-,H,-,H,-,-,H,H,H,H,H,-,-,H,H,H,-,B,-,H,-,-,B,-,H,-,B,H,-,H
163764,0,0,17.02,5882.7,108,176,36.77,40.03,2.39,-0.385,H,H,C,C,C,C,C,-,H,H,H,H,H,-,H,B,B,B,B,B,B,B,B,B,-,H,H,H,-,H,H,H,-,H,H,H,C,H,C,C,C,-,-,H,B,-,B,B,B,B,B,-,H,H,H,H,H,C,C,C,C,H,B,H,H,-,-,H,H,H,H,H,-,-,C,H,H,-,H,H,H,-,-,H,H,H,H,H,C,H,H,H,H,-,H,H,H,H,-,H,-,H,C,C,C,C,C,C,-,-,H,H,H,B,B,B,B,H,H,H,H,H,C,C,C,C,H,-,-,H,-,-,H,H,H,C,C,C,B,B,B,B,H,C,C,C,C,C,C,C,C,C,C,B,B,B,B,B,-,B,B,B,B,B,B,B,H,-,H,-,H,B,B,B,B,B,H,H,H,H,-,C,C,C,C,H,H,H,-,H,-,-,-,B,H,-,H,H,H,H,H,-,H,B,B,B,B,B,-,B,H
163765,0,0,20.98,3559.3,107,111,34.27,52.53,0.04,-0.147,H,H,H,H,H,H,H,-,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,B,B,B,B,H,C,C,-,-,B,B,B,-,B,B,B,B,B,B,B,H,H,H,H,-,H,H,H,H,C,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,H,C,C,C,C,C,H,-,H,H,H,H,H,-,B,B,B,B,B,B,B,B,H,-,C,H,H,H,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,-,H,H,H,H,-,-,H,H,H,H,H,-,H,B,B,H,H,H,B,B,B,B,B,B,B,B,B,B,B,C,H,H,H,H,H,H,-,H,H,B,B,B,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,C,C,C,B,B,B,B,B,B,H,H,C,C,C,H,H,-,H,H,-,H,H,H,H,H,-,H,H,H
163773,0,0,29.3,3242.8,68,115,41.51,54.47,-0.41,1.339,H,H,H,H,-,H,H,-,H,-,H,-,B,H,C,C,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,-,H,-,H,H,-,-,H,H,B,H,H,-,H,H,-,-,C,C,C,-,H,B,C,-,C,C,H,C,C,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,C,H,H,-,H,B,B,B,H,H,H,C,C,C,-,C,C,C,H,H,H,H,B,H,-,B,B,B,B,B,B,-,H,H,-,-,C,-,C,C,-,C,C,C,-,B,B,B,B,B,B,B,B,B,B,H,H,C,C,C,C,C,C,C,H,H,H,-,H,H,-,H,B,B,B,B,B,B,B,-,H,H,H,H,H,-,H,H,-,H,C,-,H,H,C,C,-,C,C,C,C,-,C,H,H,H,H,H,H,H,H,-,H,B,B,-,B,H,C,C,-,C,H,-,B,B,-,-,B,B
163774,0,0,16.95,4582.4,109,143,38.78,45.3,1.2,-0.013,H,H,B,B,B,B,B,B,-,B,B,B,B,H,-,B,H,H,C,C,C,C,C,C,C,C,C,C,C,C,-,H,H,-,H,H,-,H,H,H,H,H,-,H,H,-,H,H,H,-,-,C,C,B,B,B,B,B,B,-,H,C,C,-,-,H,H,H,-,-,C,-,C,C,C,H,H,H,H,H,H,H,-,-,H,B,B,B,-,B,B,B,B,H,-,H,H,H,H,H,H,-,-,H,H,-,C,C,C,C,C,C,B,-,C,C,C,C,-,C,C,C,C,C,C,C,H,H,H,B,B,B,-,B,B,C,C,C,H,H,H,-,-,H,B,-,H,B,B,B,-,B,B,B,B,B,B,B,-,B,B,B,B,B,B,H,C,C,C,C,C,H,H,H,H,B,B,B,-,B,B,B,B,B,B,H,H,-,H,H,C,C,-,C,H,H,-,H,H,H,H,-,H,B,H,B,B,-,-,B,B
163775,0,0,16.8,3423.2,54,113,33.68,52.07,-0.12,-0.499,C,C,C,H,-,H,H,-,-,H,H,H,H,-,-,H,H,H,H,-,H,H,H,H,-,H,H,C,C,C,C,C,C,-,B,-,H,H,H,-,H,H,-,B,B,-,-,H,H,-,-,B,B,H,H,H,H,-,B,-,B,B,B,-,-,H,H,-,-,H,-,-,-,H,-,H,H,B,-,H,H,-,H,H,H,B,B,B,B,B,B,B,B,-,B,B,B,B,B,B,B,-,-,H,B,B,B,B,B,B,B,H,-,H,H,-,B,H,-,H,H,-,H,H,H,-,B,C,C,C,C,C,-,C,C,C,C,C,H,H,H,-,-,H,-,H,-,-,H,H,-,H,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,B,-,B,B,B,H,H,H,H,-,H,H,H,H,H,H,C,C,C,C,C,C,C,-,-,H,H,-,-,H,H,H,-,C,C,H,H,H,-,-,H,B
168885,0,0,22.07,4221,77,131,47.06,49.18,0.48,1.402,B,B,B,B,B,B,B,B,B,B,B,B,B,H,-,H,H,H,H,H,H,H,H,H,H,-,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,-,H,B,B,B,B,B,B,B,-,B,B,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,B,B,B,H,H,H,H,B,B,B,B,B,H,H,H,H,-,H,H,-,H,H,H,H,C,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,-,B,H,H,H,H,H,H,C,C,C,C,H,H,H,H,H,-,H,H,H,H,-,H,B,B,B,H,H,C,C,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,H,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,B,B,B,B,B,-,B,B,H,H,B,B,B,B,B,B,-
168886,0,0,17.92,6852.2,68,206,43.9,38.03,3.03,0.461,C,C,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,C,C,C,C,C,H,H,-,H,H,H,H,H,H,H,C,C,C,C,-,C,C,-,C,B,B,B,-,B,B,B,B,B,B,B,B,H,H,C,C,C,H,H,B,B,C,C,H,H,B,B,B,B,B,-,B,B,B,B,B,-,H,H,H,C,C,C,C,H,B,B,H,H,C,C,H,H,H,H,H,-,H,H,H,-,B,H,B,B,B,B,B,B,B,H,-,H,H,-,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,B,H,H,H,H,H,B,-,H,H,H,H,H,H,C,C,C,C,C,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,H,H,H,H,H,H,-,B,B,B,B,C,C,H,H,H,B,-,B,B
168904,0,0,25.03,3219.2,144,109,58.08,62.57,-0.7,3.128,H,H,H,H,H,H,H,-,H,H,H,H,H,H,B,B,H,H,-,H,H,-,H,H,-,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,B,H,H,C,H,H,-,H,H,H,B,B,B,B,B,B,B,B,B,B,H,-,-,B,B,B,B,B,-,B,B,B,B,B,B,B,B,H,B,B,B,B,B,B,H,H,H,H,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,B,B,H,H,H,H,H,H,B,B,B,B,-,B,H,H,H,H,H,-,H,H,-,H,H,H,H,H,B,B,B,B,H,H,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,-,H,H,H,H,-,H,H,H,C,C,H,H,H,H,-,H,B,B,B,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,B,B,-,B,B,B,-,-,H,B,B,B,B,-,H,-,H
168905,0,0,20.62,4871.5,133,148,41.41,56.56,0.87,0.647,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,-,-,-,H,H,H,H,H,H,C,C,C,C,-,C,C,C,C,C,C,C,H,H,H,H,H,H,H,C,H,H,H,H,-,H,H,H,H,-,H,H,H,H,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,H,H,H,H,H,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,B,B,B,B,-,H,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,B,H,H,-,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,C,C,C,C,C,C,C,C,B,B,B,B,B,B,C,C,H,H,H,H,H,H,H,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,H,-,H,C,C,C,H,B,B,B,B,B,B,B,B
171314,0,0,19.2,4424.9,84,155,34.7,49.32,1.01,-0.303,H,H,H,H,H,H,-,-,H,-,H,C,C,C,B,B,H,-,H,C,H,-,H,H,H,H,H,-,B,B,B,B,B,B,H,-,H,B,B,B,-,H,H,C,-,-,C,C,-,-,-,H,-,H,-,-,B,-,B,-,B,B,B,B,-,H,H,-,C,C,C,-,C,C,C,-,H,H,-,-,H,-,-,-,H,C,C,C,C,H,H,H,H,H,-,-,H,H,-,H,H,-,-,H,C,C,H,H,-,H,H,H,-,B,B,-,-,B,-,B,B,B,B,-,-,-,B,B,B,-,-,H,H,H,H,C,C,H,C,C,C,-,-,C,-,-,C,C,C,C,C,C,-,C,C,C,C,C,C,C,-,C,C,C,C,H,C,C,C,-,C,H,H,B,B,-,H,H,-,H,-,-,H,B,B,-,H,H,H,H,H,H,-,-,B,B,-,-,B,H,-,-,H,H,-,H,H,-,-,-,-
171315,0,0,17.18,3435.5,102,118,39.25,52.9,0.03,0.206,H,H,H,-,-,H,H,-,H,H,H,H,C,C,H,H,H,-,H,H,-,H,H,H,H,-,H,-,H,H,H,H,H,H,H,H,H,C,C,-,H,H,C,-,-,B,B,B,B,B,B,H,-,H,-,C,C,C,C,C,C,C,C,H,B,-,B,B,B,B,B,B,B,B,B,B,B,B,-,B,B,B,H,H,H,H,B,B,B,H,H,H,B,B,B,B,B,B,B,B,-,B,B,B,H,H,B,B,B,B,B,B,H,H,H,B,B,B,-,B,B,B,B,B,B,H,H,-,H,H,H,-,H,-,-,H,-,H,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,-,C,-,C,C,C,C,C,C,H,H,H,C,-,B,B,B,B,H,H,H,C,B,C,C,C,C,C,C,C,C,C,H,H,H,-,H,-,H,H,-,B,B,-,-,B,B,B,-,C,C,B,H,H,-,-,H,B
171316,0,0,19.03,4443.2,104,154,32.76,43.2,1.39,-0.612,C,C,-,C,C,C,-,-,C,C,C,C,C,C,H,-,H,H,-,H,H,-,H,H,H,H,H,-,H,H,-,-,H,-,-,-,H,-,-,B,B,-,B,C,C,-,C,-,C,-,C,B,-,-,-,H,C,-,C,-,C,C,-,-,C,H,H,B,H,-,-,-,H,H,B,B,B,B,B,-,H,-,-,C,C,C,H,-,H,H,H,H,-,H,-,-,H,H,-,H,B,B,B,-,-,-,B,B,B,B,-,B,H,H,H,-,-,B,-,B,B,B,B,-,-,-,-,B,B,-,B,-,B,B,B,H,H,H,C,C,-,C,-,C,-,C,-,C,C,C,C,C,-,H,H,H,B,B,-,B,B,B,-,B,B,H,-,H,H,H,-,-,H,H,-,B,H,H,H,-,H,-,H,H,H,-,-,-,B,B,B,B,B,B,-,C,-,C,-,C,-,-,-,C,H,H,H,-,-,-,-
171317,0,0,22.27,4615.7,132,148,37.33,44.22,1.37,0.162,H,H,B,B,B,B,-,B,B,B,B,H,C,C,-,C,C,H,-,C,H,-,H,H,H,-,H,H,H,H,-,H,H,B,B,B,H,C,-,H,H,H,B,B,B,-,B,B,B,-,B,B,B,H,H,H,H,H,H,H,H,H,H,-,H,H,H,-,C,C,-,C,C,C,C,-,-,-,-,-,H,-,H,H,H,H,H,-,C,H,H,H,H,B,B,-,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,C,H,H,-,-,B,-,B,B,B,B,-,B,-,H,-,H,-,H,H,H,H,H,B,B,B,H,H,H,-,-,H,-,B,-,B,B,B,B,B,B,B,B,B,B,-,H,B,H,H,H,H,H,C,C,C,C,C,C,B,B,B,B,C,C,C,C,-,C,C,C,C,H,H,H,H,H,H,H,H,C,H,B,B,-,B,-,-,C,-,H,B,H,H,H,-,-,H,-
171355,0,0,16.52,3559.5,63,116,35.74,55.72,-0.18,-0.242,B,B,B,B,B,B,B,-,C,C,C,C,C,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,H,B,B,B,B,B,B,H,H,H,H,H,H,-,H,H,H,H,H,H,-,-,C,C,H,H,H,H,H,H,C,H,-,C,C,C,C,C,C,C,C,C,C,H,H,H,-,H,H,C,H,H,C,C,H,H,H,C,C,C,C,C,-,H,H,C,C,C,C,-,-,H,C,C,H,H,H,H,H,H,B,H,H,H,H,H,H,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,-,H,H,H,H,H,B,H,H,H,H,H,H,H,-,C,C,C,C,C,C,H,H,H,H,C,C,H,B,H,H,C,C,C,C,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,B,H,H,H,-,H,H,-
171356,0,0,10.45,2920.1,69,92,32.49,55.72,-0.63,-1.011,B,B,B,B,B,B,B,C,-,C,C,C,H,H,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,H,H,H,B,B,B,B,H,H,C,C,C,H,C,C,C,C,C,C,C,C,H,H,-,H,B,B,H,H,H,H,H,-,B,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,B,B,B,B,B,B,B,H,H,-,B,B,B,H,H,H,H,H,H,H,H,H,H,H,H,C,C,H,H,H,H,C,C,C,C,C,C,C,H,H,H,H,H,H,H,C,C,H,B,B,B,B,B,B,B,B,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,H,H,-,H,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,B,B,C,H,H,H,H,-,H,H,H
171458,0,0,21.33,4197.5,99,142,34.9,46.92,0.91,-0.143,H,H,H,H,-,H,H,H,H,H,H,H,H,H,H,B,B,B,H,H,H,H,C,H,-,H,H,H,H,H,-,C,C,H,H,H,H,-,-,B,H,H,B,B,-,B,B,B,B,B,B,H,-,B,B,B,B,B,B,B,B,B,B,B,B,H,H,H,H,H,H,H,-,C,C,C,C,C,-,H,H,H,H,H,C,C,H,H,H,H,H,B,B,-,H,H,-,H,-,H,H,C,C,C,-,H,B,H,H,H,H,H,C,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,H,-,H,H,H,H,H,H,H,B,B,B,B,B,B,B,B,B,B,B,B,B,H,H,-,-,B,B,H,H,H,H,H,C,C,C,H,B,B,B,B,B,H,H,B,B,H,H,H,H,H,H,H,H,H,B,H,H,H,H,H,H,H,H,H,C,C,C,C,C,C,B,B,H,B,H,H,H,H,-,H,B
